背番号,選手名,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率
25,岡本　和真,0.265,143,592,521,71,138,19,1,39,276,113,1,1,0,7,57,4,7,108,16,0.341,0.53
6,坂本　勇人,0.271,117,487,424,53,115,26,0,19,198,46,2,3,2,2,58,4,1,90,4,0.359,0.467
31,松原　聖弥,0.274,135,477,431,69,118,20,4,12,182,37,15,7,3,3,38,0,2,100,4,0.333,0.422
8,丸　佳浩,0.265,118,457,392,58,104,21,0,23,194,55,5,3,0,2,63,0,0,120,5,0.365,0.495
48,ウィーラー,0.289,121,427,384,44,111,28,0,15,184,56,3,1,0,1,34,3,8,78,16,0.358,0.479
24,大城　卓三,0.231,125,386,347,36,80,12,0,11,125,37,0,0,3,1,33,4,2,80,11,0.3,0.36
29,吉川　尚輝,0.272,108,329,305,35,83,13,1,5,113,25,7,0,3,2,17,2,2,48,4,0.313,0.37
13,梶谷　隆幸,0.282,61,246,227,31,64,10,1,4,88,23,11,8,0,1,15,0,3,40,2,0.333,0.388
37,若林　晃弘,0.239,96,242,213,25,51,11,0,5,77,16,1,3,3,2,22,0,2,46,1,0.314,0.362
9,亀井　善行,0.215,92,206,186,15,40,12,1,3,63,17,1,1,2,3,13,1,2,47,3,0.27,0.339
5,中島　宏之,0.271,81,195,181,11,49,10,0,6,77,26,0,0,1,1,9,1,3,35,9,0.314,0.425
10,スモーク,0.272,34,125,114,11,31,3,0,7,55,14,0,0,0,0,10,1,1,37,2,0.336,0.482
32,廣岡　大志,0.189,78,117,106,11,20,2,2,5,41,15,2,1,0,1,7,0,3,25,2,0.256,0.387
10,中田　翔,0.154,34,106,91,6,14,4,0,3,27,7,0,0,0,0,14,0,1,29,3,0.274,0.297
52,北村　拓己,0.25,53,103,92,13,23,3,0,4,38,11,1,0,2,0,8,1,1,28,4,0.317,0.413
43,重信　慎之介,0.218,73,86,78,11,17,2,0,2,25,6,6,2,1,0,7,0,0,26,0,0.282,0.321
22,小林　誠司,0.093,64,79,75,2,7,2,0,1,12,3,1,0,2,0,1,0,1,24,2,0.117,0.16
66,香月　一也,0.203,39,67,59,9,12,3,0,3,24,6,0,0,2,0,4,0,2,12,2,0.277,0.407
27,炭谷　銀仁朗,0.188,44,54,48,4,9,0,0,1,12,7,0,0,1,1,4,1,0,17,0,0.245,0.25
39,立岡　宗一郎,0.205,47,47,44,2,9,0,0,0,9,1,0,0,0,0,3,0,0,7,0,0.255,0.205
36,石川　慎吾,0.189,26,41,37,3,7,2,0,0,9,0,0,1,0,0,4,0,0,8,1,0.268,0.243
28,ハイネマン,0.16,10,28,25,2,4,1,0,0,5,2,0,0,0,0,1,0,2,6,1,0.25,0.2
0,増田　大輝,0.136,56,25,22,13,3,1,0,1,7,2,8,4,1,0,2,0,0,6,0,0.208,0.318
38,岸田　行倫,0.182,27,24,22,1,4,0,1,0,6,2,0,0,0,0,2,0,0,8,0,0.25,0.273
0,湯浅　大,0.385,33,13,13,6,5,1,0,0,6,0,1,1,0,0,0,0,0,1,0,0.385,0.462
51,八百板　卓丸,0.167,16,12,12,2,2,0,0,0,2,1,0,0,0,0,0,0,0,4,1,0.167,0.167
2,陽　岱鋼,0.143,7,7,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.143,0.143
98,ウレーニャ,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
44,テームズ,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
68,秋広　優人,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,平間　隼人,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
